Ponto,Amostra,SSID1,RSSI1,SSID2,RSSI2,SSID3,RSSI3,SSID4,RSSI4,SSID5,RSSI5,SSID6,RSSI6,SSID7,RSSI7,SSID8,RSSI8,SSID9,RSSI9,SSID10,RSSI10
RP1,24,eduroam,-68,wifi-zone-ufam-1,-68,CETELI_WIFI,-73,CETELI_TREINAMENTOS,-73,VISITANTE_CETELI,-74,CETELI_P&D,-75,dlink-9A00,-75,TPV,-81,IoT-zone-ufam,-88,LAB_LME_2G,-89
RP1,25,wifi-zone-ufam-1,-68,eduroam,-68,VISITANTE_CETELI,-74,dlink-9A00,-74,CETELI_P&D,-75,CETELI_WIFI,-77,CETELI_TREINAMENTOS,-77,TPV,-80,lpmc_ft,-80,Lab-Materiais,-84
RP1,26,eduroam,-67,wifi-zone-ufam-1,-68,dlink-9A00,-69,CETELI_WIFI,-72,VISITANTE_CETELI,-74,CETELI_TREINAMENTOS,-74,CETELI_P&D,-74,TPV,-79,Lab-Materiais,-83,lpmc_ft,-84
RP1,27,VISITANTE_CETELI,-67,CETELI_WIFI,-67,CETELI_TREINAMENTOS,-67,eduroam,-67,wifi-zone-ufam-1,-67,CETELI_P&D,-68,dlink-9A00,-74,lpmc_ft,-77,TPV,-82,Lab-Materiais,-84
RP1,28,eduroam,-66,wifi-zone-ufam-1,-66,CETELI_WIFI,-68,CETELI_TREINAMENTOS,-69,CETELI_P&D,-69,VISITANTE_CETELI,-69,dlink-9A00,-75,TPV,-83,lpmc_ft,-84,Lab-Materiais,-85
RP1,29,wifi-zone-ufam-1,-64,eduroam,-65,CETELI_TREINAMENTOS,-68,CETELI_WIFI,-68,CETELI_P&D,-69,VISITANTE_CETELI,-70,lpmc_ft,-82,TPV,-83,IoT-zone-ufam,-90,LAB_LME_2G,-91
RP1,30,eduroam,-66,wifi-zone-ufam-1,-66,CETELI_WIFI,-68,VISITANTE_CETELI,-69,CETELI_P&D,-69,CETELI_TREINAMENTOS,-70,lpmc_ft,-76,dlink-9A00,-76,TPV,-80,Lab-Materiais,-82
RP1,31,eduroam,-67,wifi-zone-ufam-1,-67,CETELI_TREINAMENTOS,-68,CETELI_WIFI,-69,VISITANTE_CETELI,-69,CETELI_P&D,-69,dlink-9A00,-71,lpmc_ft,-84,IoT-zone-ufam,-88,LAB_LME_2G,-89
RP1,32,eduroam,-67,wifi-zone-ufam-1,-67,dlink-9A00,-70,CETELI_TREINAMENTOS,-72,VISITANTE_CETELI,-75,CETELI_P&D,-75,CETELI_WIFI,-76,TPV,-78,lpmc_ft,-82,Lab-Materiais,-83
RP1,33,eduroam,-70,wifi-zone-ufam-1,-70,dlink-9A00,-73,CETELI_WIFI,-77,CETELI_TREINAMENTOS,-77,VISITANTE_CETELI,-78,CETELI_P&D,-79,TPV,-83,lpmc_ft,-83,BRITO_AP,-84
RP1,34,VISITANTE_CETELI,-66,CETELI_WIFI,-67,CETELI_TREINAMENTOS,-67,eduroam,-70,wifi-zone-ufam-1,-70,CETELI_P&D,-70,dlink-9A00,-71,Lab-Materiais,-83,BRITO_AP,-89,,,
RP1,35,eduroam,-68,wifi-zone-ufam-1,-68,CETELI_WIFI,-68,CETELI_P&D,-68,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,dlink-9A00,-74,BRITO_AP,-91,,,,,
RP1,36,eduroam,-67,wifi-zone-ufam-1,-67,CETELI_TREINAMENTOS,-71,VISITANTE_CETELI,-72,CETELI_WIFI,-72,CETELI_P&D,-72,dlink-9A00,-76,lpmc_ft,-81,BRITO_AP,-88,IoT-zone-ufam,-89
RP1,37,eduroam,-69,wifi-zone-ufam-1,-69,CETELI_TREINAMENTOS,-72,VISITANTE_CETELI,-73,CETELI_WIFI,-73,CETELI_P&D,-73,dlink-9A00,-75,BRITO_AP,-85,LAB_LME_2G,-87,,,
RP1,38,wifi-zone-ufam-1,-68,eduroam,-69,CETELI_WIFI,-71,VISITANTE_CETELI,-71,CETELI_P&D,-71,CETELI_TREINAMENTOS,-72,dlink-9A00,-73,Lab-Materiais,-87,IoT-zone-ufam,-88,BRITO_AP,-89
RP1,39,eduroam,-69,wifi-zone-ufam-1,-69,CETELI_P&D,-71,VISITANTE_CETELI,-72,CETELI_WIFI,-72,CETELI_TREINAMENTOS,-72,dlink-9A00,-75,BRITO_AP,-87,Lab-Materiais,-87,lpmc_ft,-88
RP1,40,CETELI_WIFI,-69,eduroam,-70,wifi-zone-ufam-1,-70,VISITANTE_CETELI,-71,CETELI_P&D,-71,CETELI_TREINAMENTOS,-71,dlink-9A00,-79,lpmc_ft,-83,Lab-Materiais,-87,BRITO_AP,-91
RP1,41,eduroam,-71,wifi-zone-ufam-1,-71,CETELI_WIFI,-74,CETELI_P&D,-75,CETELI_TREINAMENTOS,-76,VISITANTE_CETELI,-77,TPV,-79,dlink-9A00,-80,Lab-Materiais,-87,BRITO_AP,-91
RP1,42,eduroam,-70,wifi-zone-ufam-1,-70,dlink-9A00,-74,CETELI_WIFI,-77,VISITANTE_CETELI,-77,CETELI_TREINAMENTOS,-77,CETELI_P&D,-79,lpmc_ft,-80,TPV,-81,IoT-zone-ufam,-88
RP1,43,eduroam,-71,wifi-zone-ufam-1,-71,VISITANTE_CETELI,-74,CETELI_TREINAMENTOS,-74,CETELI_P&D,-74,CETELI_WIFI,-75,dlink-9A00,-76,TPV,-81,lpmc_ft,-81,BRITO_AP,-86
RP1,44,CETELI_TREINAMENTOS,-70,eduroam,-71,wifi-zone-ufam-1,-71,CETELI_WIFI,-74,CETELI_P&D,-74,VISITANTE_CETELI,-75,dlink-9A00,-80,TPV,-81,lpmc_ft,-83,S80,-92
RP1,45,CETELI_WIFI,-66,VISITANTE_CETELI,-67,CETELI_TREINAMENTOS,-67,CETELI_P&D,-67,eduroam,-70,wifi-zone-ufam-1,-70,dlink-9A00,-70,lpmc_ft,-84,BRITO_AP,-92,LAB_LME_2G,-94
RP1,46,dlink-9A00,-69,eduroam,-71,wifi-zone-ufam-1,-72,CETELI_WIFI,-72,VISITANTE_CETELI,-72,CETELI_TREINAMENTOS,-72,CETELI_P&D,-72,TPV,-77,lpmc_ft,-82,Lab-Materiais,-85
RP1,47,wifi-zone-ufam-1,-70,eduroam,-70,TPV,-74,CETELI_WIFI,-75,VISITANTE_CETELI,-75,CETELI_TREINAMENTOS,-75,CETELI_P&D,-75,lpmc_ft,-83,dlink-9A00,-84,IoT-zone-ufam,-88
RP1,48,wifi-zone-ufam-1,-69,eduroam,-70,dlink-9A00,-70,CETELI_WIFI,-71,VISITANTE_CETELI,-72,CETELI_TREINAMENTOS,-72,CETELI_P&D,-72,TPV,-77,lpmc_ft,-83,,,
RP1,49,dlink-9A00,-69,eduroam,-71,wifi-zone-ufam-1,-71,CETELI_TREINAMENTOS,-72,CETELI_P&D,-72,CETELI_WIFI,-73,VISITANTE_CETELI,-74,lpmc_ft,-80,Lab-Materiais,-83,TPV,-84
RP1,50,wifi-zone-ufam-1,-71,eduroam,-72,dlink-9A00,-73,CETELI_WIFI,-75,CETELI_TREINAMENTOS,-75,VISITANTE_CETELI,-77,CETELI_P&D,-77,lpmc_ft,-80,Lab-Materiais,-86,TPV,-86
RP1,51,VISITANTE_CETELI,-69,CETELI_WIFI,-70,CETELI_TREINAMENTOS,-70,CETELI_P&D,-70,wifi-zone-ufam-1,-72,eduroam,-73,dlink-9A00,-80,lpmc_ft,-82,Lab-Materiais,-87,IoT-zone-ufam,-88
RP1,52,CETELI_WIFI,-68,CETELI_TREINAMENTOS,-68,VISITANTE_CETELI,-69,CETELI_P&D,-69,eduroam,-71,wifi-zone-ufam-1,-71,dlink-9A00,-72,lpmc_ft,-74,Lab-Materiais,-86,IoT-zone-ufam,-86
RP1,53,dlink-9A00,-70,eduroam,-71,wifi-zone-ufam-1,-71,VISITANTE_CETELI,-72,CETELI_TREINAMENTOS,-72,CETELI_WIFI,-73,CETELI_P&D,-74,lpmc_ft,-80,Lab-Materiais,-83,BRITO_AP,-85
RP1,54,eduroam,-71,wifi-zone-ufam-1,-71,dlink-9A00,-72,CETELI_WIFI,-76,CETELI_P&D,-79,CETELI_TREINAMENTOS,-80,VISITANTE_CETELI,-82,lpmc_ft,-88,BRITO_AP,-89,Lab-Materiais,-90
RP1,55,dlink-9A00,-70,eduroam,-72,wifi-zone-ufam-1,-72,VISITANTE_CETELI,-74,CETELI_WIFI,-74,CETELI_TREINAMENTOS,-74,CETELI_P&D,-74,lpmc_ft,-79,BRITO_AP,-86,S80,-96
RP1,56,eduroam,-71,wifi-zone-ufam-1,-72,VISITANTE_CETELI,-73,CETELI_WIFI,-73,CETELI_TREINAMENTOS,-73,CETELI_P&D,-73,dlink-9A00,-80,lpmc_ft,-83,BRITO_AP,-88,S80,-93
RP1,57,dlink-9A00,-69,eduroam,-71,wifi-zone-ufam-1,-71,VISITANTE_CETELI,-74,CETELI_TREINAMENTOS,-74,CETELI_WIFI,-75,CETELI_P&D,-77,lpmc_ft,-80,TPV,-87,IoT-zone-ufam,-90
RP1,58,eduroam,-68,wifi-zone-ufam-1,-68,dlink-9A00,-69,CETELI_WIFI,-73,CETELI_TREINAMENTOS,-73,VISITANTE_CETELI,-74,CETELI_P&D,-75,BRITO_AP,-85,lpmc_ft,-86,IoT-zone-ufam,-88
RP1,59,dlink-9A00,-68,wifi-zone-ufam-1,-70,eduroam,-71,CETELI_TREINAMENTOS,-73,VISITANTE_CETELI,-77,CETELI_WIFI,-77,CETELI_P&D,-77,lpmc_ft,-81,BRITO_AP,-89,IoT-zone-ufam,-90
RP1,60,eduroam,-70,wifi-zone-ufam-1,-70,dlink-9A00,-73,VISITANTE_CETELI,-74,CETELI_WIFI,-74,CETELI_TREINAMENTOS,-75,CETELI_P&D,-75,lpmc_ft,-77,BRITO_AP,-84,Lab-Materiais,-88
RP1,61,eduroam,-69,wifi-zone-ufam-1,-69,dlink-9A00,-71,VISITANTE_CETELI,-72,CETELI_WIFI,-72,CETELI_TREINAMENTOS,-72,CETELI_P&D,-72,lpmc_ft,-78,BRITO_AP,-85,Lab-Materiais,-87
RP1,62,eduroam,-69,CETELI_TREINAMENTOS,-69,dlink-9A00,-69,wifi-zone-ufam-1,-70,CETELI_WIFI,-70,CETELI_P&D,-70,VISITANTE_CETELI,-71,lpmc_ft,-78,TPV,-86,BRITO_AP,-87
RP1,63,eduroam,-68,wifi-zone-ufam-1,-68,dlink-9A00,-69,CETELI_WIFI,-71,VISITANTE_CETELI,-71,CETELI_TREINAMENTOS,-71,CETELI_P&D,-71,lpmc_ft,-79,BRITO_AP,-86,IoT-zone-ufam,-88
RP1,64,eduroam,-70,wifi-zone-ufam-1,-70,dlink-9A00,-73,CETELI_TREINAMENTOS,-74,CETELI_WIFI,-75,VISITANTE_CETELI,-76,CETELI_P&D,-76,lpmc_ft,-78,BRITO_AP,-90,IoT-zone-ufam,-91
RP1,65,eduroam,-70,wifi-zone-ufam-1,-70,dlink-9A00,-71,CETELI_P&D,-72,CETELI_TREINAMENTOS,-72,VISITANTE_CETELI,-74,CETELI_WIFI,-75,lpmc_ft,-85,IoT-zone-ufam,-89,BRITO_AP,-90
RP1,66,eduroam,-70,wifi-zone-ufam-1,-70,CETELI_WIFI,-70,CETELI_P&D,-71,CETELI_TREINAMENTOS,-72,VISITANTE_CETELI,-72,dlink-9A00,-72,IoT-zone-ufam,-90,BRITO_AP,-91,,,
RP1,67,eduroam,-69,wifi-zone-ufam-1,-69,dlink-9A00,-70,CETELI_WIFI,-71,VISITANTE_CETELI,-72,CETELI_TREINAMENTOS,-72,CETELI_P&D,-72,lpmc_ft,-78,TPV,-83,IoT-zone-ufam,-89
RP1,68,eduroam,-69,wifi-zone-ufam-1,-69,CETELI_WIFI,-70,CETELI_P&D,-70,VISITANTE_CETELI,-71,CETELI_TREINAMENTOS,-71,dlink-9A00,-73,lpmc_ft,-85,Lab-Materiais,-88,BRITO_AP,-89
RP1,69,eduroam,-69,wifi-zone-ufam-1,-69,CETELI_TREINAMENTOS,-74,dlink-9A00,-74,VISITANTE_CETELI,-75,CETELI_WIFI,-76,CETELI_P&D,-76,lpmc_ft,-83,BRITO_AP,-87,Lab-Materiais,-87
