rp,CETELI_WIFI,CETELI_TREINAMENTOS,CETELI_P&D,VISITANTE_CETELI,eduroam,wifi-zone-ufam-1,dlink-9A00,TPV,BRITO_AP,S80
1,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-77.0,-100.0,-100.0
1,-70.0,-70.0,-70.0,-70.0,-69.0,-69.0,-100.0,-78.0,-88.0,-100.0
1,-71.0,-70.0,-70.0,-70.0,-70.0,-69.0,-71.0,-77.0,-100.0,-100.0
1,-70.0,-70.0,-70.0,-70.0,-69.0,-69.0,-70.0,-73.0,-100.0,-100.0
1,-69.0,-70.0,-69.0,-69.0,-69.0,-69.0,-70.0,-78.0,-100.0,-100.0
1,-70.0,-70.0,-69.0,-71.0,-69.0,-69.0,-100.0,-76.0,-83.0,-100.0
1,-70.0,-70.0,-70.0,-70.0,-69.0,-70.0,-79.0,-77.0,-100.0,-100.0
1,-69.0,-69.0,-70.0,-69.0,-70.0,-70.0,-70.0,-77.0,-100.0,-100.0
1,-69.0,-70.0,-70.0,-70.0,-70.0,-69.0,-100.0,-78.0,-100.0,-84.0
1,-70.0,-69.0,-70.0,-69.0,-70.0,-69.0,-100.0,-78.0,-83.0,-100.0
1,-70.0,-69.0,-69.0,-71.0,-70.0,-69.0,-70.0,-77.0,-100.0,-100.0
1,-69.0,-70.0,-70.0,-69.0,-69.0,-69.0,-69.0,-78.0,-100.0,-100.0
1,-69.0,-69.0,-68.0,-69.0,-69.0,-69.0,-69.0,-77.0,-100.0,-82.0
1,-70.0,-71.0,-70.0,-70.0,-69.0,-69.0,-80.0,-100.0,-100.0,-84.0
1,-70.0,-70.0,-70.0,-70.0,-70.0,-69.0,-70.0,-76.0,-83.0,-100.0
1,-69.0,-70.0,-70.0,-69.0,-69.0,-69.0,-68.0,-77.0,-100.0,-100.0
2,-58.0,-57.0,-58.0,-58.0,-71.0,-71.0,-59.0,-77.0,-100.0,-100.0
2,-58.0,-57.0,-57.0,-57.0,-72.0,-72.0,-66.0,-100.0,-100.0,-83.0
2,-57.0,-58.0,-57.0,-57.0,-71.0,-71.0,-59.0,-73.0,-100.0,-84.0
2,-57.0,-57.0,-57.0,-57.0,-71.0,-71.0,-59.0,-73.0,-100.0,-100.0
2,-57.0,-57.0,-57.0,-57.0,-71.0,-71.0,-66.0,-73.0,-100.0,-100.0
2,-57.0,-58.0,-57.0,-58.0,-71.0,-71.0,-59.0,-73.0,-100.0,-83.0
2,-57.0,-57.0,-58.0,-57.0,-71.0,-71.0,-66.0,-73.0,-84.0,-100.0
2,-58.0,-57.0,-56.0,-58.0,-71.0,-71.0,-59.0,-74.0,-100.0,-84.0
